Windows NT Server;3.5;WindowsNTsrv.exe;0;Microsoft Corp.
Windows NT Server;3.51;WindowsNTsrv.exe;0;Microsoft Corp.
Windows NT Server;4.0;WindowsNTsrv.exe;0;Microsoft Corp.
Windows NT Terminal Server;4.0;WindowsNTtsrv.exe;0;Microsoft Corp.
Windows NT Workstation;3.5;WindowsNTwks.exe;0;Microsoft Corp.
Windows NT Workstation;3.51;WindowsNTwks.exe;0;Microsoft Corp.
Windows NT Workstation;4.0;WindowsNTwks.exe;0;Microsoft Corp.
Windows XP Home Edition;5.1;windowsxphome.exe;0;Microsoft Corp.
Windows XP Professional;5.1;WindowsXPpro.exe;0;Microsoft Corp.
Windows XP Professional;6.0;WindowsXPpro.exe;0;Microsoft Corp.
WinFax;Unknown;winfax.exe;0;Delrina Technology
Wingz;Unknown;WINGZ.EXE;0;Informix Software
WinHTTrack Website Copier;Unknown;WinHTTrack.exe;0;HTTrack
WinHTTrack Website Copier;3.x;WinHTTrack.exe;987136;HTTrack
SoftIce for Windows;Unknown;WINICE.EXE;0;Nu-Mega Technologies
MySQL Administrator Tool for Win32;Unknown;winmysqladmin.exe;0;MySQL AB
WinOnCD CD Recording Software;Unknown;WinOnCD.exe;0;Roxio
Windows Orgchart;Unknown;WINORG.EXE;0;Micrografx
Pegasus Mail;Unknown;winpm-32.exe;0;Freeware
WinProbe;Unknown;WINPROBE.EXE;0;Quarterdeck Office Systems
Project;Unknown;winproj.exe;0;Microsoft Corp.
Project for Windows;Unknown;winproj.exe;0;Microsoft Corp.
WinRar;Unknown;winrar.exe;0;Softronic Oy
WinScope;Unknown;WINSCOPE.EXE;0;Periscope Company
SQLtalk;Unknown;WINTALK.EXE;0;Gupta Technologies
Wintext;Unknown;WINTEXT.EXE;0;Palantir
Wintime;Unknown;WINTIME.EXE;0;Palantir
Wintrieve;Unknown;WINTRIEV.EXE;0;Whitewater Group
VNC server for Win32;Unknown;WinVNC.exe;0;AT&T Laboratories Cambridge
WinVNC;Unknown;WinVNC.exe;0;AT&T Laboratories Cambridge
VNC server for Win32;3.3.3r9;WinVNC.exe;176128;AT&T Laboratories Cambridge
WinVNC;3.3.3r9;WinVNC.exe;176128;AT&T Laboratories Cambridge
VNC server for Win32;3, 3, 3, 2;WinVNC.exe;200704;AT&T Laboratories Cambridge
VNC server for Win32;3.3.3.2;WinVNC.exe;200704;AT&T Laboratories Cambridge
VNC server for Win32;3.3.3r2;WinVNC.exe;200704;AT&T Laboratories Cambridge
WinVNC;3, 3, 3, 2;WinVNC.exe;200704;AT&T Laboratories Cambridge
VNC server for Win32;3.3.3r7;WinVNC.exe;208896;AT&T Laboratories Cambridge
WinVNC;3.3.3r7;WinVNC.exe;208896;AT&T Laboratories Cambridge
TightVNC Win32 Server;1, 2, 2, 0;WinVNC.exe;398336;Const Kaplinsky
TightVNC Win32 Server;1, 2, 3, 0;WinVNC.exe;415232;Const Kaplinsky
TightVNC Win32 Server;1, 2, 4, 0;WinVNC.exe;419328;Const Kaplinsky
TightVNC Win32 Server;1, 2, 5, 0;WinVNC.exe;444416;Const Kaplinsky
Word;Unknown;winword.exe;0;Microsoft Corp.
Word;1.1;WINWORD.EXE;894848;Microsoft Corp.
Word;1.1a;WINWORD.EXE;899408;Microsoft Corp.
Word;1.1b;WINWORD.EXE;908912;Microsoft Corp.
Word;2.0a;WINWORD.EXE;1268224;Microsoft Corp.
Word;2.0;WINWORD.EXE;1273024;Microsoft Corp.
Word;2.0c;WINWORD.EXE;1278240;Microsoft Corp.
Word;6.0;winword.exe;3483136;Microsoft Corp.
Word;6.0a;WINWORD.EXE;3483136;Microsoft Corp.
Word;6.0;WINWORD.EXE;3490816;Microsoft Corp.
Word;95;winword.exe;3845120;Microsoft Corp.
Word;97;winword.exe;5317904;Microsoft Corp.
Word;97 SR1;winword.exe;5324560;Microsoft Corp.
Word;97 SR2;winword.exe;5337088;Microsoft Corp.
Word;9.0 or 2000;winword.exe;8798260;Microsoft Corp.
Word;9.0 or 2000 SR1;winword.exe;8810548;Microsoft Corp.
Word;10.0 or XP;winword.exe;10577312;Microsoft Corp.
WinZIP 16 bits;Unknown;WINZIP.EXE;0;WinZIP
WinZip Executable;Unknown;WINZIP32.EXE;0;Nico Mak Computing, Inc.
WinZIP;Unknown;winzip32.exe;0;WinZIP
WinZip Executable;3.0 (32-bit);WINZIP32.EXE;717312;Nico Mak Computing, Inc.
WinZIP;7.0 SR1;WINZIP32.EXE;982528;WinZIP
WinZIP;7.0;WINZIP32.EXE;983040;WinZIP
Lotus cc:Mail for Windows;Unknown;WMAIL.EXE;0;IBM
Lotus cc:Mail for Windows;Unknown;WMAIL.EXE;0;Lotus Development
Central Point Anti-Virus-Windows;Unknown;WNCPAV.EXE;0;Central Point Software
PC Tools for Windows;Unknown;WNFM.EXE;0;Central Point Software
Wolfenstein 3D;Unknown;WOLF3D.EXE;0;id Software
Word;5.0;WORD.EXE;620140;Microsoft Corp.
Word for DOS;5.0;WORD.EXE;620140;Microsoft Corp.
Lotus Word Pro;Unknown;WORDPRO.EXE;0;Lotus Development
Lotus Word Pro;Unknown;wordpro.exe;0;Lotus Development Corporation
Lotus Word Pro;97.0.807.0;wordpro.exe;4995072;Lotus Development
Lotus Word Pro;97.0.807.0;wordpro.exe;4995072;Lotus Development Corporation
Lotus Word Pro;99.5.3165.0;wordpro.exe;5170448;Lotus Development
Lotus Word Pro;99.5.3165.0;wordpro.exe;5170448;Lotus Development Corporation
Microsoft Win Entertainment III;Unknown;WORDZAP.EXE;0;Microsoft Corp.
Win Entertainment III;Unknown;WORDZAP.EXE;0;Microsoft Corp.
WorldShip;Unknown;worldship.exe;0;UPS ONLINE
WorldShip;3.0;worldship.exe;4767812;UPS ONLINE
WordPerfect;Unknown;WP.EXE;0;Corel Corp.
WordPerfect;5.1;WP.EXE;228352;Corel Corp.
PerForm Pro + Designe;Unknown;WPERFORM.EXE;0;Delrina Technology
Perfect Exchange;Unknown;WPF5CONV.EXE;0;Systems Compatibility Corp.
Multimate;Unknown;WPSYSD.SYS;0;Borland/Inprise
WordPerfect For Windows;5.1;wpwin.exe;0;Corel Corp.
WordPerfect For Windows;Unknown;WPWIN.EXE;0;Corel Corp.
WordPerfect For Windows;5.1;WPWIN.EXE;7072;Corel Corp.
WordPerfect for Windows 5.1;Unknown;WPWIN.EXE;7072;Corel Corp.
WordPerfect For Windows;6.0;wpwin6.exe;0;Corel Corp.
WordPerfect for Windows;6.0;WPWIN60.EXE;0;Corel Corp.
WordPerfect for Windows 6.0;Unknown;WPWIN60.EXE;0;Corel Corp.
WordPerfect For Windows;6.1;wpwin61.exe;0;Corel Corp.
WordPerfect For Windows;7.0;wpwin7.exe;0;Corel Corp.
WordPerfect For Windows;8.0;wpwin8.exe;0;Corel Corp.
WordPerfect For Windows;9.0;wpwin9.exe;0;Corel Corp.
WordPerfect® 9;Unknown;wpwin9.exe;0;Corel Corp.
WordPerfect For Windows;9.0.0.528;wpwin9.exe;5808128;Corel Corp.
WordPerfect® 9;9.0.0.528;wpwin9.exe;5808128;Corel Corp.
Whitewater Resource Tool Kit;Unknown;WRT.EXE;0;Whitewater Group
WS_FTP LE;Unknown;ws_ftp95.exe;0;Ipswitch, Inc.
WS_FTP LE;2000, 1, 12, 1;ws_ftp95.exe;428032;Ipswitch, Inc.
Wordstar;Unknown;WS2ORG.EXE;0;Wordstar International
Scan for Windows;Unknown;WSCAN.EXE;0;McAfee
VirusScan for Windows;Unknown;WSCAN.EXE;0;McAfee
McAfee VirusScan for Windows;Unknown;wscan.exe;0;Network Associates
WS_FTP Pro;Unknown;wsftppro.exe;0;Ipswitch, Inc.
WS_FTP Pro;7,5,0,1;wsftppro.exe;323584;Ipswitch, Inc.
Sophos Anti-Virus detection system GUI;2.01.0224;WSWEEPNT.EXE;0;Sophos
WebTrends Log Analyzer;Unknown;WT_LOG.EXE;0;WebTrend Corp.
Wincom Minitel;4.3R1;wvdtx_32.exe;908800;Icom
Wincom Minitel;Unknown;wvt_32.exe;0;Icom
Wincom VT320;Unknown;wvt32_32.exe;0;Icom
Wincom VT320;4.3R1;wvt32_32.exe;948224;Icom
Workstation Menu Editor;Unknown;wwedit.exe;0;Automated Design Systems
Secure Station/Intercom;Unknown;wwext.exe;0;Automated Design Systems
Workstation Menu;Unknown;wwmenu.exe;0;Automated Design Systems
Workstation Meter;Unknown;wwmeter.exe;0;Automated Design Systems
Word Writer;Unknown;WWPC.EXE;0;Timeworks
Workstation Print Editor;Unknown;wwpedit.exe;0;Automated Design Systems
Workstation Print Manager;Unknown;wwprint.exe;0;Automated Design Systems
Xpress;Unknown;xpress.exe;0;Quark, Inc.
Extended Report Writer;Unknown;XRW.EXE;0;Microrim
Xsession for Windows NT;6.1.0.0;Xsession.exe;101888;Hummingbird, Ldt.
Crosstalk;Unknown;XTALK.EXE;0;DCA
XTree Gold;Unknown;XTG.EXE;0;XTree
Xtree Pro Gold;Unknown;XTGOLD.COM;0;Symantec Corp.
Xtree Net;Unknown;XTNET.COM;0;Symantec Corp.
Xtree Pro;Unknown;XTPRO.COM;0;Symantec Corp.
Xtree;Unknown;XTREE.EXE;0;Symantec Corp.
Xtree For Windows;Unknown;XTREEWIN.EXE;0;Symantec Corp.
Xtrieve;Unknown;XTRIEVE.EXE;0;Novell
J.k. Lasser Y.i.t 1990;Unknown;YIT.EXE;0;Simon & Schuster
Yahoo! Messenger;5, 0, 0, 1066;YPager.exe;1044480;Yahoo, Inc
ZoneAlarm Pro;Unknown;zapro.exe;0;Zone Labs Inc.
ZoneAlarm Pro;2.6.231;zapro.exe;902528;Zone Labs Inc.
Zone Alarm;Unknown;zonealarm.exe;0;Zone Labs Inc.
Zone Alarm;2.6.231;zonealarm.exe;5120;Zone Labs Inc.
Crosstalk for Windows;Unknown;ZTALK.EXE;0;Crosstalk Communications/DCA
