769;IBM Cobol Compiler;Unknown;COBCOMP.COM;0;IBM Corporation
1233;Cobol Compiler;Unknown;COBOL.EXE;0;Microsoft
236;CoGo Classic;Unknown;cogoclsc.exe;0;Bentley
1116;ColorDesigner;Unknown;colordesigner.exe;0;MatchRite
705;Colorforms;Unknown;COLORFRM.EXE;0;Gryphon Software Corp
135;Comanche;Unknown;comanche.exe;0;Apache Group
405;Comenius 2000 ECDL;Unknown;comenius.exe;0;Comenius
919;Comparerite;Unknown;COMPARE.COM;0;Jurisoft
831;Inno Setup Compiler;3.0.6b;Compil32.exe;528896;InnoSetup
1304;Mouse;Unknown;COMSP.EXE;0;Microsoft
740;Coneuc;Unknown;CONEUC.EXE;0;Holt Software Associates
1313;NetMeeting;Unknown;conf.exe;0;Microsoft
1312;NetMeeting;5.1.2600.2149;conf.exe;1032192;Microsoft
1310;NetMeeting;4.4.3385;conf.exe;659216;Microsoft
1311;NetMeeting;4.4.3400;conf.exe;995328;Microsoft
1573;Content Copier User Interface Module for PC Suite;Unknown;ContentCopier.exe;0;Nokia Mobile Phones Ltd.
1572;Content Copier User Interface Module for PC Suite;4, 15, 0, 3;ContentCopier.exe;4145152;Nokia Mobile Phones Ltd.
457;Context;0.97.2a;ConTEXT.exe;523776;Context
1030;Contribute;Unknown;Contribute.exe;0;Macromedia
916;Convert;Unknown;convert.exe;0;Joshua F. Madison
1264;File System Conversion Utility;5.1.2600.0 (xpclient.010817-1148);convert.exe;13824;Microsoft
1263;File System Conversion Utility;5.00.2195.3649;CONVERT.EXE;14096;Microsoft
357;Copy II PC;Unknown;COPYIIPC.EXE;0;Central Point Software
464;Draw;8.0;coreldraw.exe;11801600;Corel Corp.
466;Draw !;Unknown;coreldrw.exe;0;Corel Corp.
465;Draw;9.0;coreldrw.exe;13819904;Corel Corp.
463;Draw;10.0;coreldrw.exe;49152;Corel Corp.
467;Flow !;Unknown;corelflw.exe;0;Corel Corp.
469;Photo-Paint;Unknown;corelpnt.exe;0;Corel Corp.
471;Trace;Unknown;coreltrc.exe;0;Corel Corp.
472;Ventura;Unknown;corelvp.exe;0;Corel Corp.
382;Who What When;Unknown;COREWWW.EXE;0;Chronos Software
493;Crmix GI;Unknown;cormix-gi.exe;0;Cormix
826;Infinium Payroll;Unknown;cortdir.exe;0;Infinium
78;Cover Designer;2, 1, 0, 8;CoverDes.exe;1695744;Ahead Software
355;Central Point Anti-Virus;Unknown;CPAV.EXE;0;Central Point Software
368;RealTime Monitor;Unknown;cprtm.exe;0;Check Point Software Technologies
235;Axiom File Fixer;Unknown;cpuid.exe;0;Bentley
509;First Aid;Unknown;CRASHTST.EXE;0;CyberMedia
1836;Create CD;Unknown;createcd.exe;0;Roxio
1835;Create CD;4.02e (310);createcd.exe;262144;Roxio
1841;EasyCD Creator;Unknown;Creatr32.exe;0;Roxio
1839;EasyCD Creator;4.05 (409);creatr32.exe;1777664;Roxio
1842;EasyCD Creator;Unknown;Creatr50.exe;0;Roxio
1840;EasyCD Creator;5.2.0.61;Creatr50.exe;946267;Roxio
270;Control Room;Unknown;CRLOAD.COM;0;Borland/Inprise
2133;Crosswords For Kids;Unknown;CROSSKID.EXE;0;The Home School
503;CrossTies;Unknown;CROSSTIE.EXE;0;CrossTies S/W Corp
1820;Cruise Control;Unknown;CRUISE.COM;0;Revolution Software
1867;Cristal Reports;Unknown;CRW32.EXE;0;Seagate Software
1873;Crystal Reports;Unknown;crw32.exe;0;Seagate Software
1874;Seagate Crystal Reports;7.0.100.15;crw32.exe;2336256;Seagate Software
1868;Crystal Reports;4.5 Professional;CRW32.EXE;3586560;Seagate Software
1864;Cristal Reports;5.0 Professional;crw32.exe;5495296;Seagate Software
1869;Crystal Reports;5.0 Professional;crw32.exe;5495296;Seagate Software
1870;Crystal Reports;5.0.1.108;crw32.exe;5523456;Seagate Software
1865;Cristal Reports;6.0 Professional;crw32.exe;5940224;Seagate Software
1871;Crystal Reports;6.0 Professional;crw32.exe;5940224;Seagate Software
1866;Cristal Reports;7.0;crw32.exe;8139776;Seagate Software
1872;Crystal Reports;7.0;crw32.exe;8139776;Seagate Software
411;CryptoLock;Unknown;CRYPTO.COM;0;Commcrypt
361;Century Term;6.2;cterm.exe;0;Century
1956;Tetris;Unknown;CTETRIS.EXE;0;Spectrum Holobyte
394;Civil Tools;Unknown;ctmain.exe;0;Civil Entineering
2106;CentaMeter;Unknown;CTMMGR.EXE;0;Tally Systems
498;Creative PlayCenter;0;CTPlay.exe;0;Creative Technology Ltd
499;Creative PlayCenter;Unknown;CTPlay.exe;0;Creative Technology Ltd
341;Creative Recorder;0;CTRec.exe;0;Caere Corporation
500;Creative Recorder;Unknown;CTRec.exe;0;Creative Technology Ltd
506;Cummings Power Suite;Unknown;cumminsps.exe;0;Cummings Power Generators
504;CU-SeeMe;Unknown;CUSEEM.EXE;0;CU-SeeMe
505;CU-SeeMe 32;Unknown;CUSEEM32.EXE;0;CU-SeeMe
761;Client Access;Unknown;cwbsvd.exe;0;IBM Corporation
773;iSeries Access for Windows;V5R2M0;cwbsvd.exe;36912;IBM Corporation
768;IBM Client Access Express;6.0.0.4;cwbunnav.exe;284944;IBM Corporation
326;Easy Presentation Graphics;Unknown;CYK2ASC.EXE;0;Brown Bag Software
2140;Dimension 4;Unknown;D4.exe;0;Thinking Man Software
2139;Dimension 4;4.2.1005;D4.exe;114688;Thinking Man Software
1822;Emu/470;Unknown;D470.EXE;0;Rhintek
521;Daceasy Rapid Tax;Unknown;D9FMENU.EXE;0;DacEasy
1729;Daily Features;Unknown;DAILY.EXE;0;Power Up Software
1960;Download Accelerator Plus;Unknown;dap.exe;0;SpeedBit Ltd.
1959;Download Accelerator Plus;5.0.0.6;DAP.exe;1175552;SpeedBit Ltd.
724;Dashboard for Windows;Unknown;DASH.EXE;0;Hewlett Packard
696;DataLink;Unknown;DATALINK.EXE;0;Great American Software
697;DataSave;Unknown;DATASAVE.EXE;0;Great American Software
2128;Date Manager Application;2.0.0.1;DateManager.exe;598087;The Gator Corporation
623;Direct Access For Windows;Unknown;DAWIN.EXE;0;Fifth Generation Systems
622;Direct Access;Unknown;DA_CNFG.EXE;0;Fifth Generation Systems
771;IBM(R) DB2(R);7.1.0;db2.exe;3584;IBM Corporation
862;IBM(R) DB2(R);7.1.0;db2.exe;3584;International Business Machines Corporation
272;dBase;Unknown;DBASE.EXE;0;Borland/Inprise
273;dBase IV;Unknown;DBASE1.EXE;0;Borland/Inprise
305;Visual dBASE;Unknown;DBASEWIN.EXE;0;Borland/Inprise
430;Dbfast Windows;Unknown;DBFAST.EXE;0;Computer Associates
1433;Win32 Cabinet Self-Extractor;4.71.1015.0;DBSetup.exe;92384;Microsoft
710;SQLbase;Unknown;DBWINDOW.EXE;0;Gupta Technologies
332;Dcnap;Unknown;DCNAP.COM;0;Bv Engineering Software
2169;Laplink;Unknown;DDINSTAL.EXE;0;Traveling Software
518;Daceasy Accounting;Unknown;DEA4.EXE;0;DacEasy
517;Accounting for Windows;Unknown;DEAWIN.EXE;0;DacEasy
2117;Debt Rater Plus;Unknown;DEBTRATE.EXE;0;The Alcar Group
2023;MPEG Decoder;Unknown;Decoder.exe;0;sXi software
2022;MPEG Decoder;1.0.0.0;Decoder.exe;119296;sXi software
531;Dataease Developer;Unknown;DEDEV.EXE;0;Dataease International
2292;Wordstar Professional;Unknown;DELCRT.EXE;0;Wordstar International
274;Delphi;1.0;DELPHI.EXE;0;Borland/Inprise
278;Delphi 1.0;Unknown;DELPHI.EXE;0;Borland/Inprise
275;Delphi;2.0;delphi32.exe;1267712;Borland/Inprise
276;Delphi;3.0;delphi32.exe;2045888;Borland/Inprise
520;Daceasy Payroll;Unknown;DEP4.EXE;0;DacEasy
277;Delphi;Unknown;dephi32.exe;0;Borland/Inprise
562;Describe (tm)-word Publisher;Unknown;DESCRIBE.EXE;0;Describe
3;20/20 Design Software;Unknown;design.exe;0;20/20
1168;Designer;Unknown;DESIGNER.EXE;0;Micrografx
2189;designer;Unknown;designer.exe;1286144;Trolltech
618;Expert Home Design/Wi;Unknown;DESIGNW.EXE;0;Expert Software
725;Deskscan;Unknown;DESKSCAN.EXE;0;Hewlett Packard
446;Desktop Labels Pro;Unknown;desktoplabpro.exe;0;CompuWorks
926;Descriptions Now!;Unknown;DESNOW.EXE;0;Knowledgepoint
262;Dev C++;4.9.8.0;devcpp.exe;2829824;Bloodshed Software
522;Daceasy Word;Unknown;DEW.EXE;0;DacEasy
1480;DEP;Unknown;DFCIRC.exe;0;Mowen
553;FormFlow Manager;Unknown;DFDESIGN.EXE;0;Delrina Technology
636;Drafix 1+ Or Ultra;Unknown;DFX.EXE;0;Foresight Resources Corp.
634;3D-Modeler;Unknown;DFX3D.EXE;0;Foresight Resources Corp.
637;Drafix Cad Overlay;Unknown;DFXC.EXE;0;Foresight Resources Corp.
638;Drafix Qwkstart;Unknown;DFXS.EXE;0;Foresight Resources Corp.
715;The Dieter's Edge;Unknown;DIETEDGE.EXE;0;H. Sys Co.
935;Diggital;Unknown;diggital.exe;0;Labyrinten Data AB
1517;Direct Connect;Unknown;direct connect.exe;0;NeoModus
1838;DirectCD;Unknown;Directcd.exe;0;Roxio
1837;DirectCD;5.2.0.91;Directcd.exe;679936;Roxio
1032;Director;Unknown;director.exe;0;Macromedia
1031;Director;8.0;director.exe;4775936;Macromedia
168;CustomView Director;2.1;director.exe;802080;Aspect Software
169;CustomView Director;2.1.1;director.exe;832256;Aspect Software
170;CustomView Director;2.1.1 SP2 (Build 2);director.exe;832832;Aspect Software
2195;Discrete Mathematics;Unknown;DISCRETE.EXE;0;True Basic
613;Diskeeper;Lite;dklite.exe;248320;Executive Software
615;Diskeeper Workstation;Unknown;dkservice.exe;0;Executive Software
614;Diskeeper Workstation;5.02;dkservice.exe;131072;Executive Software
2168;Desklink;Unknown;DL.EXE;0;Traveling Software
559;Direct Net;Unknown;DNREN.EXE;0;Delta Technology
130;On The Line;Unknown;DOCTERM.EXE;0;American Institute Of Architects
698;Dome Simplified Bookkeeping;Unknown;DOME.EXE;0;Great American Software
798;Doom;Unknown;DOOM.EXE;0;id Software
1730;DOS Director;Unknown;DOSDIR.EXE;0;Power Up Software
552;DOSFax Pro;Unknown;DOSFAX.EXE;0;Delrina Technology
176;dot;Unknown;dot.exe;475136;AT&T Laboratories Cambridge
177;dotty;Unknown;dotty.exe;36864;AT&T Laboratories Cambridge
693;DOWN Application;Unknown;Down.exe;0;GoZilla
692;DOWN Application;3.5;Down.exe;278528;GoZilla
2208;doxygen;Unknown;doxygen.exe;2387968;Unknown
1918;Draw Partner;Unknown;DP.DFL;0;Software Publishing Corp.
1592;DataPerfect;Unknown;DPEXP.COM;0;Novell Apps Group
162;Drain Analysis;Unknown;draind.exe;0;Archon
1957;The Art Studio;Unknown;DRAWM1.EXE;0;Spectrum Holobyte
568;Dr DOS;Unknown;DRBDOS.SYS;0;Digital Research
1033;Dreamweaver;Unknown;dreamweaver.exe;0;Macromedia
1039;Dreamweaver MX;6.1;Dreamweaver.exe;10272768;Macromedia
1038;Dreamweaver MX;6.1;dreamweaver.exe;10276864;Macromedia
1040;Dreamweaver MX 2004;7.0.1;Dreamweaver.exe;12169216;Macromedia
1034;Dreamweaver 3;3.0;dreamweaver.exe;5316608;Macromedia
2209;Dreamweaver Demo;1.32;dreamweaver.exe;5773824;Unknown
1035;Dreamweaver 4;4.0;dreamweaver.exe;6483968;Macromedia
1036;Dreamweaver 4;4.01;Dreamweaver.exe;6488064;Macromedia
1037;Dreamweaver MX;6.0;dreamweaver.exe;9797632;Macromedia
1158;Dr. Halo;Unknown;DRHALO.EXE;0;Media Cybernetics
1593;DrawPerfect;Unknown;DRHELP.FIL;0;Novell Apps Group
118;DriveCrypt;3.02B;DriveCrypt.exe;503808;Aman
1169;Designer 4.0;Unknown;DS40.EXE;0;Micrografx
447;Dsalvage;Unknown;DSALVAGE.EXE;0;Comtech Publishing
882;Iomega Backup;Unknown;dt.exe;0;Iomega Corporation
1757;Disk Technician Advanced;Unknown;DTARPT.EXE;0;Prime Solutions
1783;Desqview Calc;Unknown;DUCALC.EXE;0;Quarterdeck Office Systems
981;Lotus Freelance Plus;Unknown;DV3POST.EXE;0;Lotus Development
1784;Desqview Datebook;Unknown;DVDATEBK.EXE;0;Quarterdeck Office Systems
1785;Desqview Link;Unknown;DVLINK.EXE;0;Quarterdeck Office Systems
1786;Desqview Notepad;Unknown;DVNOTEPD.COM;0;Quarterdeck Office Systems
539;DVREWEDVSMSTR001.EXE;3,0,357,0;DVREWEDVSMSTR001.EXE;28672;DATEV e.G.
765;Displaywrite 3;Unknown;DW3PG.COM;0;IBM Corporation
766;Displaywrite 4;Unknown;DW4PG.COM;0;IBM Corporation
764;Display Write 5 for OS/2;Unknown;DW52A.EXE;0;IBM Corporation
763;Display Write 5;Unknown;DW5PG.COM;0;IBM Corporation
927;Descriptions Write Now!;Unknown;DWN1.EXE;0;Knowledgepoint
1243;DirectX Diagnostic Tool;Unknown;DXDIAG.EXE;0;Microsoft
1239;DirectX Diagnostic Tool;5.03.2600.2149 (xpsp_sp2_rc2.040610-1520);dxdiag.exe;1298432;Microsoft
1240;DirectX Diagnostic Tool;5.1.2258.400 built by: Lab06_N(mmbuild);dxdiag.exe;1769472;Microsoft
1236;DirectX Diagnostic Tool;4.06.00.0318;DXDIAG.EXE;286480;Microsoft
1237;DirectX Diagnostic Tool;4.07.00.0700;DXDIAG.EXE;412944;Microsoft
1238;DirectX Diagnostic Tool;5.00.2195.1;dxdiag.exe;426768;Microsoft
1241;DirectX Diagnostic Tool;5.1.2600.1106 (xpsp1.020828-1920);dxdiag.exe;786432;Microsoft
1242;DirectX Diagnostic Tool;5.3.0000000.901 built by: DIRECTX;dxdiag.exe;937984;Microsoft
198;Extra! for Windows;Unknown;e4wtimer.exe;0;Attachmate Corp.
702;CompLex for Encyclopedia Americana;2.5.66;EA98.EXE;512048;Grolier Encyclopedia
2180;Trend Server Protect Information Server;Unknown;EarthAgent.exe;0;Trend
2184;Trend Server Protect Information Server;Unknown;EarthAgent.exe;0;Trend Micro
2116;EASYLABEL Application;3.00.00.45;easy.exe;652800;Tharo Systems, Inc.
717;Interactive Easyflow;Unknown;EASYFLOW.COM;0;Haven Tree
589;EasyPhp;1.6.0.0;easyphp.exe;122880;EasyPhp
590;ECad;Unknown;ecad.exe;0;EDSA
16;Echelon;Unknown;ECHELON.EXE;0;Access Software
2099;Software Bridge;Unknown;EDITFLTR.EXE;0;Systems Compatibility Corp.
914;EditPad Lite;4.4.1.0;EditPad.exe;408576;JGsoft
1721;Pop Basics Menu!;Unknown;EDMENU.EXE;0;Pop Computer Products
108;Electric Desk;Unknown;EDS.EXE;0;Alpha Software
1951;Falcon A.T.;Unknown;EFALCON.EXE;0;Spectrum Holobyte
241;Electronic Filing;Unknown;EFMAIN.EXE;0;Best Programs
584;Eagle Point;Unknown;egpt.exe;0;Eagle Point Software
1964;Eight In One;Unknown;EIGHT.EXE;0;Spinnaker Software Corp.
166;EIS;Unknown;eisbuild.exe;0;Aruba
941;Extra K;Unknown;EKAUTO.EXE;0;Lerman Associates
1119;El-Fish;Unknown;ELFISH.EXE;0;Maxis
515;Da Vinci Email For Os/2;Unknown;EMAILOS2.EXE;0;Da Vinci Systems
514;Da Vinci Email For Dos;Unknown;EMAILPGM.EXE;0;Da Vinci Systems
516;Da Vinci Email For Windows;Unknown;EMAILWIN.EXE;0;Da Vinci Systems
616;Emergency Undelete;Lite;emergund.exe;106496;Executive Software
1821;Emu/220;Unknown;EMU.EXE;0;Rhintek
604;eMule;Unknown;emule.exe;0;Emule
603;eMule;0.30c;emule.exe;2834432;Emule
2137;Enable;Unknown;ENABLE.EXE;0;The Software Group
891;EndNote;4.0;endnote4.exe;2741272;ISI Research Soft
892;EndNote;4.01;endnote4.exe;2761728;ISI Research Soft
893;EndNote;5.0;endnote5.exe;3380736;ISI Research Soft
894;EndNote;5.0.2;endnote5.exe;3380736;ISI Research Soft
1594;Envoy;Unknown;ENVOY.EXE;0;Novell Apps Group
858;Easel Development System;Unknown;EPARSE.EXE;0;Interactive Images
2285;e/pop;Unknown;EPop.exe;0;WiredRed Software
2284;e/pop;2.0.3.135;EPop.exe;3842048;WiredRed Software
720;Windows Express;Unknown;ERPEDIT.EXE;0;Hdc Computer
859;Layout/CUA;Unknown;ESLCUADS.EXE;0;Interactive Images
2127;Ethereal;Unknown;ethereal.exe;0;The Ethereal developer community, http://www.ether
2122;Ethereal;0.8.18;ethereal.exe;4205292;The Ethereal developer community, http://www.ether
2123;Ethereal;0.9.2;ethereal.exe;6367144;The Ethereal developer community, http://www.ether
2124;Ethereal;0.9.4;ethereal.exe;7672844;The Ethereal developer community, http://www.ether
2125;Ethereal;0.9.5;ethereal.exe;8090132;The Ethereal developer community, http://www.ether
2126;Ethereal;0.9.6;ethereal.exe;8263252;The Ethereal developer community, http://www.ether
1776;Eudora;Unknown;EUDORA.EXE;0;Qualcomm
1777;Eudora Pro;3.0.6.9;eudora.exe;1072640;Qualcomm
1775;Eudora;5.1;Eudora.exe;2510905;Qualcomm
1778;Eudora Pro;5.1R;Eudora.exe;2510905;Qualcomm
1774;Eudora;4.3.2;Eudora.exe;3429888;Qualcomm
279;Eureka;Unknown;EUREKA.EXE;0;Borland/Inprise
794;Wincom VT220 (16 bits);Unknown;evt220.exe;0;Icom
793;Wincom VT220 (16 bits);3.2;evt220.exe;254464;Icom
2151;Ev Wood IBM;Unknown;EVWOOD.EXE;0;Timeworks
587;EASEL Workbench;Unknown;EWB.EXE;0;Easel Corporation
1963;DOS Manager;Unknown;EWD.EXE;0;Spinnaker Software Corp.
1965;File Recovery;Unknown;EWFIR.EXE;0;Spinnaker Software Corp.
1967;Hard Disk Tripack;Unknown;EWTP.EXE;0;Spinnaker Software Corp.
1973;Typing Teacher;Unknown;EWTT.EXE;0;Spinnaker Software Corp.
1262;Excel;Unknown;excel.exe;0;Microsoft
1248;Excel;11 or 2003;excel.exe;10073144;Microsoft
1249;Excel;11 or 2003;EXCEL.EXE;10074304;Microsoft
1250;Excel;3.0;EXCEL.EXE;1254400;Microsoft
1251;Excel;3.0a;EXCEL.EXE;1268352;Microsoft
1252;Excel;4.0;EXCEL.EXE;2740736;Microsoft
1253;Excel;5.0;excel.exe;4246784;Microsoft
1257;Excel;95;excel.exe;4828160;Microsoft
1258;Excel;97;excel.exe;5599504;Microsoft
1259;Excel;97 SR-1;excel.exe;5604624;Microsoft
1261;Excel;97 SR2;excel.exe;5608208;Microsoft
1260;Excel;97 SR1;excel.exe;5611520;Microsoft
1254;Excel;9.0 or 2000;excel.exe;7151661;Microsoft
1256;Excel;9.0 or 2000 SR1;excel.exe;7155757;Microsoft
1255;Excel;9.0 or 2000 SP3;excel.exe;7163949;Microsoft
1244;Excel;10.0 or XP;excel.exe;9164192;Microsoft
1246;Excel;10.0 or XP SR2;excel.exe;9173576;Microsoft
1245;Excel;10.0 or XP SP-2;excel.exe;9177672;Microsoft
1247;Excel;10.0.6501;EXCEL.EXE;9189896;Microsoft
1131;Lan Support Center;Unknown;EXECER.EXE;0;McAfee
1540;McAfee LAN Support Center;Unknown;EXECER.EXE;0;Network Associates
1984;Windows beenden (Task-Leiste);Unknown;Exitwin+.exe;0;Stefan Schmitz
1983;Windows beenden (Task-Leiste);2.13;Exitwin+.exe;61440;Stefan Schmitz
1750;Expedition;Unknown;EXPDTION.COM;0;Primavera Systems
1295;Internet Explorer Windows2000 Installer;Unknown;expinst.exe;0;Microsoft
1294;Internet Explorer Windows2000 Installer;6.00.2800.1106;expinst.exe;23552;Microsoft
1293;Internet Explorer Windows2000 Installer;5.50.4807.2300;expinst.exe;29456;Microsoft
1883;Rocky Mountain Traders Ltd.;5.0.0.87;exPressIT 5.exe;1170058;Shortcut Software Development
1882;eX-Press-IT;0.8.0.0;eXPressIT.exe;2846208;Shortcut Software Development
1101;Macromedia Extension Manager;Unknown;Extension Manager.exe;0;Macromedia
1042;Extension Manager;1.6.062;extension manager.exe;622592;Macromedia
1100;Macromedia Extension Manager;1.2.029;Extension Manager.exe;69632;Macromedia
1041;Extension Manager;1.5.046;extension manager.exe;90112;Macromedia
560;Extra;Unknown;EXTRA.COM;0;Delta Technology
1585;VPN Client;Unknown;extranet.exe;561152;Nortell Networks NA, Inc
1894;Eye-relief;Unknown;EYE.COM;0;Skisoft Publishing Corp.
670;EZ Sound;Unknown;EZCD.EXE;0;Future Trends Software
1155;EZPage;Unknown;EZPAGE.EXE;0;MCS
1997;EasyPhoto;Unknown;Ezphoto.exe;0;Storm Technology, Inc.
1996;EasyPhoto;2.7.1;Ezphoto.exe;736256;Storm Technology, Inc.
1999;EasyPhoto Slide Show;Unknown;EZVIEWER.EXE;0;Storm Technology, Inc.
1998;EasyPhoto Slide Show;2.5;EZVIEWER.EXE;331120;Storm Technology, Inc.
406;F-Proteus;Unknown;F-PROT.EXE;0;Command Software
1186;F15 Strike Eagle Ii;Unknown;F15.COM;0;Microprose Usa
1187;F19 Stealth Fighter;Unknown;F19.COM;0;Microprose Usa
602;F1_2000;1.04;F1_2000.exe;252832;Electronic Arts
1267;Fortran;Unknown;F3.EXE;0;Microsoft
1164;Microfocus CICS Addon;Unknown;FAAANPCB.EXE;0;Microfocus
1950;Falcon;Unknown;FALCON.EXE;0;Spectrum Holobyte
375;TTax Fixed Asset Mgr;Unknown;FAM.EXE;0;Chipsoft
245;PC Fas;Unknown;FAMAINT.EXE;0;Best Programs
242;Fas (fixed Asset System);Unknown;FAMENU.EXE;0;Best Programs
1903;Fancy Word;Unknown;FANCWORD.EXE;0;Softcraft
624;Fastback;Unknown;FASTBACK.EXE;0;Fifth Generation Systems
249;Tool Box;Unknown;FASUT.EXE;0;Best Programs
460;Faxfacts;Unknown;FAXFACTS.EXE;0;Copia International
558;WinFax Pro;Unknown;faxmng.exe;0;Delrina Technology
625;Fastback Plus;Unknown;FBPSCHED.COM;0;Fifth Generation Systems
630;FCAT Sumulaion middle school;Unknown;FCATMS.exe;8601153;Florida Department of Education
2115;Authorware Runtime;5.1;FCATMS.exe;8601153;TestTools
1598;WP Informs Designer;Unknown;FDWINFIL.EXE;0;Novell Apps Group
257;Formfiller;Unknown;FF.DFO;0;Bloc Publishing
1896;ffw32 MFC Application;3, 6, 0, 4;ffw32.exe;0;SmartDisk Corporation
1520;NETGEAR Print Server Administration Application;Unknown;FGAdmin.exe;0;NETGEAR
1519;NETGEAR Print Server Administration Application;1, 0, 0, 1;FGAdmin.exe;785408;NETGEAR
91;FreeHand;3.0;fh3.exe;0;Aldus Corp.
1751;Finest Hour;Unknown;FHREP.EXE;0;Primavera Systems
627;FileMaker Pro;5.0Fv1;filemaker pro.exe;1978368;FileMaker
1934;Pfs: File;Unknown;FILSETUP.EXE;0;Software Publishing Corp.
2097;D.E.S.;Unknown;FILTER3.EXE;0;Systems Compatibility Corp.
654;FilZip;Unknown;filzip.exe;0;Freeware
2212;FilZip;Unknown;filzip.exe;0;Unknown
651;FilZip;16;filzip.exe;1556480;Freeware
652;FilZip;20;filzip.exe;1673728;Freeware
2210;FilZip;2.0;filzip.exe;1673728;Unknown
653;FilZip;21;filzip.exe;1725440;Freeware
2211;FilZip;2.1;filzip.exe;1725440;Unknown
2200;Financial Insight;Unknown;FIN.EXE;0;Type Iii
1516;Navision Financials;2.5;FIN.EXE;3320320;Navision
821;Perl Command Line Interpreter;5,6,1,626;findProxy.exe;686803;IndigoSTAR Software
1853;S+S Virus Toolkit;Unknown;FINDVIRU.EXE;0;S+S International
1486;Firefox;Unknown;firefox.exe;0;Mozilla.org
1487;Firefox;1.5;firefox.exe;7162979;Mozilla.org
1044;Fireworks 3;Unknown;Fireworks 3.exe;0;Macromedia
1045;Fireworks 4;Unknown;Fireworks 4.exe;0;Macromedia
1043;Fireworks;Unknown;fireworks.exe;0;Macromedia
1046;Fireworks MX;Unknown;Fireworks.exe;0;Macromedia
1047;Fireworks MX 2004;7.0;Fireworks.exe;14696448;Macromedia
1919;First Choice;Unknown;FIRST1.OVL;0;Software Publishing Corp.
1050;Flash;Unknown;flash.exe;0;Macromedia
1053;Flash MX 2004;7.0.0.470;Flash.exe;12193792;Macromedia
1054;Flash MX 2004;7.0.1.505;Flash.exe;12251136;Macromedia
2213;Flashing Titlebar Demo;Unknown;FLASH.EXE;159812;Unknown
1048;Flash;4.0;flash.exe;4152320;Macromedia
1283;HTML Help Image Editor;4.01.1111;flash.exe;652800;Microsoft
1284;HTML Help Image Editor;4.74.8702;flash.exe;830464;Microsoft
1051;Flash 5.0;5.0.6.0;Flash.exe;8550400;Macromedia
1049;Flash;5.0;flash.exe;8558080;Macromedia
1071;Flash Player (IE);Unknown;Flash.ocx;0;Macromedia
1060;Flash Player (IE);6.0.29.0;Flash.ocx;786432;Macromedia
1061;Flash Player (IE);6.0.40.0;Flash.ocx;802816;Macromedia
1062;Flash Player (IE);6.0.47.0;Flash.ocx;806912;Macromedia
1063;Flash Player (IE);6.0.65.0;Flash.ocx;823296;Macromedia
1065;Flash Player (IE);6.0.79.0;Flash.ocx;827392;Macromedia
1064;Flash Player (IE);6.0.68.0;Flash.ocx;856064;Macromedia
1066;Flash Player (IE);7.0.14.0;Flash.ocx;917504;Macromedia
1069;Flash Player (IE);7.0.19.0;Flash.ocx;933888;Macromedia
1070;Flash Player (IE);7.0.19.0;Flash.ocx;939224;Macromedia
1068;Flash Player (IE);7.0.19.0;Flash.ocx;939368;Macromedia
1067;Flash Player (IE);7.0.14.0;Flash.ocx;987136;Macromedia
1052;Flash Communication Server MX;Unknown;FlashCom.exe;0;Macromedia
629;FlasKMPEG program file;Unknown;FlasKMPEG.exe;0;FlasK CO
628;FlasKMPEG program file;0, 5, 9, 4;FlasKMPEG.exe;1220699;FlasK CO
1682;Flow Charting;Unknown;FLOW.EXE;0;Patton & Patton Software
1172;FlowCharter;7.0;flow70.exe;0;Micrografx
1173;FlowCharter 7;Unknown;FLOW70.EXE;2739712;Micrografx
1171;FlowCharter;7.0;flow70.exe;2740736;Micrografx
631;Flowlink;Unknown;flowlin.exe;0;Flowmaster
632;FlowPro;2;flowpro2.exe;0;Flowmaster
980;Lotus Freelance Graphics for Windows;Unknown;FLW.COM;0;Lotus Development
979;Lotus Freelance For Windows;Unknown;FLW.EXE;0;Lotus Development
399;FileMaker Pro for Windows;Unknown;FMPRO.EXE;0;Claris Corporation
1733;File And Find;Unknown;FNF.EXE;0;Power Up Software
1580;Focus;98;foc098ns.exe;0;Norstedts Rabén
1583;Focus 98;98;foc098ns.exe;1001696;Norstedts Rabén
1581;Focus;99;Foc099ns.exe;0;Norstedts Rabén
1584;Focus 99;99;Foc099ns.exe;503536;Norstedts Rabén
1579;Focus;97;focus97.exe;0;Norstedts Rabén
1582;Focus 97;97;focus97.exe;164898;Norstedts Rabén
1904;Fontfx;Unknown;FONTFX.EXE;0;Softcraft
586;Multiple Load Footing;Unknown;footing.exe;0;Eagle Point Software
1942;Sound Forge XP;Unknown;forgxp32.exe;0;Sonicfoundry
644;Formgen Plus;Unknown;FORM-PRT.EXE;0;Formgen Corporation
1734;Forms File;Unknown;FORM.EXE;0;Power Up Software
2305;Xerox Formbase;Unknown;FORMBASE.EXE;0;Xerox Desktop Software
1914;Form Set;Unknown;FORMSET.EXE;0;Softview
258;Formtool;Unknown;FORMTOOL.EXE;0;Bloc Publishing
578;Formula;Unknown;FORMULA.EXE;0;Dynamic Microprocessor Association
1268;Foxpro;Unknown;FOXPRO.EXE;0;Microsoft
1269;Foxpro For Windows;Unknown;FOXPROW.EXE;0;Microsoft
1920;First Publisher;Unknown;FP.OVL;0;Software Publishing Corp.
1279;FrontPage Server Administrator;3.0.2.1706;FP98SADM.EXE;14608;Microsoft
